序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00919,="10:28:14.529",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00920,="10:28:14.529",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00921,="10:28:14.590",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BD 
00922,="10:28:14.590",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00923,="10:28:14.620",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BD 
00924,="10:28:14.620",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00925,="10:28:14.680",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BD 
00926,="10:28:14.680",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00927,="10:28:14.739",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BD 
00928,="10:28:14.739",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00929,="10:28:14.769",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00930,="10:28:14.769",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00931,="10:28:14.830",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00932,="10:28:14.830",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00933,="10:28:14.890",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00934,="10:28:14.890",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00935,="10:28:14.922",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00936,="10:28:14.922",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00937,="10:28:14.982",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00938,="10:28:14.982",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00939,="10:28:15.044",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00940,="10:28:15.044",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00941,="10:28:15.074",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00942,="10:28:15.105",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00943,="10:28:15.135",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00944,="10:28:15.135",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00945,="10:28:15.193",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00946,="10:28:15.193",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00947,="10:28:15.255",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00948,="10:28:15.255",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00949,="10:28:15.285",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00950,="10:28:15.285",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00951,="10:28:15.344",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00952,="10:28:15.344",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00953,="10:28:15.406",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00954,="10:28:15.406",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00955,="10:28:15.468",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00956,="10:28:15.468",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00957,="10:28:15.497",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00958,="10:28:15.497",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00959,="10:28:15.557",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00960,="10:28:15.557",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00961,="10:28:15.616",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 B8 
00962,="10:28:15.616",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00963,="10:28:15.647",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 B8 
00964,="10:28:15.647",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00965,="10:28:15.709",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 B8 
00966,="10:28:15.709",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00967,="10:28:15.770",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 B8 
00968,="10:28:15.770",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00969,="10:28:15.801",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00970,="10:28:15.801",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00971,="10:28:15.857",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00972,="10:28:15.857",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00973,="10:28:15.918",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 78 
00974,="10:28:15.918",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00975,="10:28:15.978",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 78 
00976,="10:28:15.978",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00977,="10:28:16.009",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00978,="10:28:16.009",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00979,="10:28:16.070",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00980,="10:28:16.070",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00981,="10:28:16.131",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00982,="10:28:16.131",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00983,="10:28:16.160",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00984,="10:28:16.160",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00985,="10:28:16.160",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00986,="10:28:16.160",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00987,="10:28:16.221",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00988,="10:28:16.221",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00989,="10:28:16.283",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00990,="10:28:16.283",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00991,="10:28:16.313",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00992,="10:28:16.313",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00993,="10:28:16.375",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00994,="10:28:16.375",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00995,="10:28:16.434",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00996,="10:28:16.434",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00997,="10:28:16.496",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00998,="10:28:16.496",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00999,="10:28:16.527",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
01000,="10:28:16.527",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01001,="10:28:16.587",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
01002,="10:28:16.587",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01003,="10:28:16.647",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
01004,="10:28:16.647",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
01005,="10:28:16.675",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BA 
01006,="10:28:16.675",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
01007,="10:28:16.737",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BA 
01008,="10:28:16.737",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
01009,="10:28:16.798",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BA 
01010,="10:28:16.798",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
01011,="10:28:16.858",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BA 
01012,="10:28:16.858",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
01013,="10:28:16.887",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 78 
01014,="10:28:16.887",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
01015,="10:28:16.947",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
01016,="10:28:16.947",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01017,="10:28:17.008",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
01018,="10:28:17.008",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01019,="10:28:17.038",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
01020,="10:28:17.038",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01021,="10:28:17.098",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
01022,="10:28:17.098",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01023,="10:28:17.158",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
01024,="10:28:17.158",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01025,="10:28:17.188",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
01026,="10:28:17.188",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01027,="10:28:17.247",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
01028,="10:28:17.247",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01029,="10:28:17.308",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01030,="10:28:17.308",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01031,="10:28:17.338",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01032,="10:28:17.338",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01033,="10:28:17.398",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01034,="10:28:17.398",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01035,="10:28:17.458",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01036,="10:28:17.458",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01037,="10:28:17.519",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
01038,="10:28:17.519",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01039,="10:28:17.580",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
01040,="10:28:17.580",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01041,="10:28:17.608",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
01042,="10:28:17.608",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01043,="10:28:17.672",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
01044,="10:28:17.672",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
01045,="10:28:17.732",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BB 
01046,="10:28:17.732",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
01047,="10:28:17.764",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BB 
01048,="10:28:17.764",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
01049,="10:28:17.820",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BB 
01050,="10:28:17.820",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
01051,="10:28:17.882",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BB 
01052,="10:28:17.882",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
01053,="10:28:17.914",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
01054,="10:28:17.914",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01055,="10:28:17.975",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
01056,="10:28:17.975",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01057,="10:28:18.034",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
01058,="10:28:18.034",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01059,="10:28:18.064",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
01060,="10:28:18.064",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01061,="10:28:18.123",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
01062,="10:28:18.123",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01063,="10:28:18.185",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
01064,="10:28:18.185",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01065,="10:28:18.216",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
01066,="10:28:18.216",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01067,="10:28:18.276",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
01068,="10:28:18.276",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01069,="10:28:18.334",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01070,="10:28:18.334",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01071,="10:28:18.366",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01072,="10:28:18.366",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01073,="10:28:18.428",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01074,="10:28:18.428",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01075,="10:28:18.489",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01076,="10:28:18.489",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01077,="10:28:18.548",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
01078,="10:28:18.548",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01079,="10:28:18.608",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
01080,="10:28:18.608",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01081,="10:28:18.640",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
01082,="10:28:18.640",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01083,="10:28:18.701",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
01084,="10:28:18.701",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
01085,="10:28:18.759",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BD 
01086,="10:28:18.759",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
01087,="10:28:18.791",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BD 
01088,="10:28:18.791",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
01089,="10:28:18.851",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BD 
01090,="10:28:18.851",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
01091,="10:28:18.913",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BD 
01092,="10:28:18.913",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
01093,="10:28:18.944",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
01094,="10:28:18.944",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01095,="10:28:19.005",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
01096,="10:28:19.005",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01097,="10:28:19.064",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
01098,="10:28:19.064",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
01099,="10:28:19.095",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
01100,="10:28:19.095",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01101,="10:28:19.154",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
01102,="10:28:19.154",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01103,="10:28:19.216",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
01104,="10:28:19.216",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01105,="10:28:19.246",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
01106,="10:28:19.278",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01107,="10:28:19.308",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
01108,="10:28:19.308",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01109,="10:28:19.366",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01110,="10:28:19.366",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01111,="10:28:19.428",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01112,="10:28:19.428",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01113,="10:28:19.458",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01114,="10:28:19.458",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01115,="10:28:19.520",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01116,="10:28:19.520",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01117,="10:28:19.579",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
01118,="10:28:19.579",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01119,="10:28:19.640",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
01120,="10:28:19.640",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01121,="10:28:19.672",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
01122,="10:28:19.672",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01123,="10:28:19.732",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
01124,="10:28:19.732",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
01125,="10:28:19.791",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 B8 
01126,="10:28:19.791",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
01127,="10:28:19.823",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 B8 
01128,="10:28:19.823",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
01129,="10:28:19.884",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 B8 
01130,="10:28:19.884",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
01131,="10:28:19.945",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 B8 
01132,="10:28:19.945",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
01133,="10:28:19.976",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
01134,="10:28:19.976",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
01135,="10:28:20.035",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
01136,="10:28:20.035",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
01137,="10:28:20.094",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 78 
01138,="10:28:20.094",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
01139,="10:28:20.155",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 78 
01140,="10:28:20.155",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01141,="10:28:20.185",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
01142,="10:28:20.185",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01143,="10:28:20.246",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
01144,="10:28:20.246",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01145,="10:28:20.307",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
01146,="10:28:20.307",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01147,="10:28:20.337",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
01148,="10:28:20.337",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01149,="10:28:20.337",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
01150,="10:28:20.337",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
01151,="10:28:20.397",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
01152,="10:28:20.397",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01153,="10:28:20.460",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01154,="10:28:20.460",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01155,="10:28:20.489",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01156,="10:28:20.489",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01157,="10:28:20.552",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01158,="10:28:20.552",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
01159,="10:28:20.612",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
01160,="10:28:20.612",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01161,="10:28:20.671",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
01162,="10:28:20.671",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01163,="10:28:20.701",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
01164,="10:28:20.701",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01165,="10:28:20.762",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
01166,="10:28:20.762",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
01167,="10:28:20.822",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
01168,="10:28:20.822",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
01169,="10:28:20.855",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BA 
